country,total_english_speakers
United States,95.46
India,12.18
Nigeria,56.72
Philippines,63.72
United Kingdom,97.74
Germany,56
Canada,86.21
Australia,97
Italy,34
Bangladesh,18
Egypt,35
Thailand,27.16
Netherlands,90
Nepal,35.8
South Africa,31
Poland,37
Turkey,17
Iraq,35
Spain,22
China,6.43
Brazil,5
Sweden,86
Kenya,18.83
Cameroon,38
Russia,5.48
Belgium,60
Israel,84.97
Austria,73
Romania,31
Zimbabwe,41.58
Greece,51
Sierra Leone,83.53
Mexico,11.6
Denmark,86
Switzerland,61.28
Morocco,14
Ireland,98.37
Singapore,83.1
Ghana,66.67
Tanzania,9.89
Taiwan,28
New Zealand,97.82
Finland,70
Portugal,27
Papua New Guinea,49.76
Liberia,82.67
Jordan,45
Jamaica,97.64
Algeria,7
Uganda,8.09
Hong Kong,53.2
Czech Republic,27
Argentina,6.52
Yemen,9
Croatia,49
Colombia,4.22
Hungary,20
Puerto Rico,48.61
Zambia,16.02
Bulgaria,25
Kazakhstan,15.4
Lebanon,40
Chile,9.53
Rwanda,15
Slovakia,26
Trinidad and Tobago,87.74
Slovenia,59
Lithuania,38
Latvia,46
Guyana,90.55
Botswana,38.42
Estonia,50
Cyprus,73
Malawi,3.88
Lesotho,27.86
Suriname,87.09
Malta,89
Namibia,17.24
Luxembourg,56
Bahamas,87.13
Barbados,98.57
Belize,81.65
Madagascar,18
Costa Rica,8.2
France,39
Mauritius,15.97
Vanuatu,83.55
Fiji,20.62
Solomon Islands,31.68
Guam,91.09
Brunei,39.07
Saint Vincent and the Grenadines,95
U.S. Virgin Islands,95.97
Grenada,90.91
Samoa,49.86
Isle of Man,99.93
Myanmar,4.45
Saint Lucia,43.03
Northern Mariana Islands,83.33
Antigua and Barbuda,80
American Samoa,80.1
Federated States of Micronesia,57.66
Bermuda,96.92
Dominica,94.03
Marshall Islands,98.33
Eswatini,4.38
Aruba,42.31
The Gambia,2.34
Saint Kitts and Nevis,78
Cayman Islands,76.6
Seychelles,37.93
Gibraltar,100
Tonga,30
Kiribati,24.21
British Virgin Islands,86.96
Palau,92.5
Andorra,22
Anguilla,92.31
Nauru,96.67
Cook Islands,19.8
Montserrat,67.8
